,Ulasan,Label,clean_teks
57,biarkan bintang yang berbicara,0,biar bintang bicara
58,"saya, kecewa dengan sistem pengerjaan untuk di kirim ke jasa pengiriman nya. menyediakan jasa YES (yakin esok sampai) tapi disamakan dengan pengiriman reguler. bukan salah kurir ini salah seller yg tidak segera mungkin menindak yg harusnya di prioritaskan barang yg harusnya satu hari sampai , menjadi 2 hari. entah di sengaja apa tidak ini sistem yang buruk menurut saya. selamat 28rb jasa YES nya bisa anda claim karna mereka tidak berhasil kirim 1 hari paket nya, lumayan buat tambah2 omset itu.. jika memang di sengaja selamat anda berhasil, dan membuat kekacauan yg cukup menyedihkan buat saya. tp jika tidak ya semoga kedepan lebih baik lagi. maaf ini pengalaman terburuk saya",0,kecewa sistem kerja kirim jasa kirim nya sedia jasa yes esok sama kirim reguler salah kurir salah seller tindak prioritas barang sengaja sistem buruk selamat rb jasa yes nya claim karna hasil kirim paket nya lumayan omset sengaja selamat hasil kacau sedih tp ya moga depan maaf alam buruk
59,"Barang Standar,sesuai dngan harga nya",0,barang standarsesuai dngan harga nya
60,ternyata hanya sablon aj dilogo,0,sablon aj logo
61,bahan tipis sekali.....semoga kuat sj...,0,bahan tipis sekalisemoga kuat sj
62,"Barang dikirim sangat cepat. Komunikasi yang baik. Barang tidak tahan lama, lebih baik pakai di dalam.",0,barang kirim cepat komunikasi barang tahan pakai
63,Terlalu lama mulai tanggal 14 baru sampainya tanggal 30 hampir setengah bulan,0,tanggal sampai tanggal
64,"tidak puas, saya dirugikan, kualitas barang saya terima sangat buruk",0,puas rugi kualitas barang terima buruk
65,"ukuran yg dikirim tidak sesuai, malah ukuran yg diminta seperti ditulis ulang",0,ukur kirim sesuai ukur tulis ulang
66,model pesanan sesuai tapi kualitas barang yg ditampilkan dgn barang yg diterima jauh sekali (kasar sekali),0,model pesan sesuai kualitas barang tampil barang terima kasar
67,Kurang bagus karena gak kena klipnya jadi gak kencang,0,bagus gak kena klip gak kencang
68,Sepertinya salah kirim !! Saya pesan size pria di chat 34 c 13 c 22. Ga cukup buat sneaker!! . Saya mau dikembalikan ini gimanaaa. Ongkornya mahal lo iniiii!,0,salah kirim pesan size pria chat c c ga sneaker kembali gimanaaa ongkornya mahal lo iniiii
69,"Tali sepatunya belang, saya tidak suka dan tidak sesuai pesanan nmr.42 dikirim nmr.40",0,tali sepatu belang suka sesuai pesan nmr kirim nmr
70,"Barang si oke saya pesan navy size 42 yg dikirim hitam Size 41 , dan packing nya tidak rapih ,,,",0,barang si oke pesan navy size kirim hitam size packing nya rapih
71,"Barang sudah diterima ,hanya saja kecewa dengan pengirimannya yg lama",0,barang terima kecewa kirim
72,Ngak ada talinya warna juga kurang sesuai,0,ngak tali warna sesuai
73,Lem nya kurang rapih dan enteng banget,0,lem nya rapih enteng banget
74,"😥😥 not good quality, not even close.",0,not bagus quality not even close
75,"speaker tidak jelas, jadi belum bisa dipakai",0,speaker pakai
76,"Paketannya sdh sampai, kecewa ! Pantesan aja murah bkn samsung asli",0,paket kecewa pantesan aja murah bkn samsung asli
77,"Beli 2 biji, 2-2 patah di tmpt yg sama di bagian pertemuan per dgn suction.",0,beli biji - patah tmpt temu suction
78,"barang sesuai deskripsi tetapi tidak bs menempel pd interior mobil yg bergelombang, kualitas plastik jg meragukan...",0,barang sesuai deskripsi bs tempel pd interior mobil gelombang kualitas plastik jg ragu
79,Saya pikir bahannya bagus.. tp ya sudahlah.. wong harganya juga ga mahal... klu kawan2 punya selera yg lebih sy sarankan utk berfikir kembali mengambil produk ini krn memang pas2an...maklum ada harga ada kualitas...,0,pikir bahan bagus tp ya harga ga mahal klu kawan selera sy saran utk berfikir ambil produk krn pasanmaklum harga kualitas
80,"kualitas barang rendah tp ya sesuai harganya, juga Barang datang dengan kondisi kaca pecah.",0,kualitas barang rendah tp ya sesuai harga barang kondisi kaca pecah
81,Ball head nya tidak bisa mengunci sama sekali.,0,ball head nya kunci
82,Tidak memuaskan dan komplain lama respon.,0,muas komplain respon
83,Cek dlu bos. Gerigi penahan nya kok lepas trus..  Yg ada malah hp nya jatoh,0,cek dlu bos gerigi tahan nya lepas trus hp nya jatoh
84,Barang kasar banget dan tidak sesuqi dengan foto,0,barang kasar banget sesuqi foto
85,"Kagak pas di motor ninja 250 fi.. 
Sama kagak pas di polygon stratos..",0,kagak pas motor ninja fi kagak pas polyangon stratos
86,"Kirim barang nya sdh rusak...
Dikomplain malah ga terima maki&amp;#34; dan menghina pembeli",0,kirim barang nya rusak komplain ga terima makiamp hina beli
87,Buat dewasa bukan anak kegedean,0,dewasa anak gede
88,Barang rusak dikirim,0,barang rusak kirim
89,warna tdak sma dgn gambar....trima kasih,0,warna tdak sma gambartrima kasih
90,"Pengaitnya gak kuat, gampang goyang jd gampang jatuh. Jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh",0,kait gak kuat gampang goyang jd gampang jatuh jd kasih lem korea rekat lg biar ga mudah jatuh
91,Penjual tidak responsif. Item dalam box tidak lengkap. Tidak bisa di gunakan. Not recommended seller.,0,jual responsif item box lengkap not rekomen seller
92,Pengirimannya terlalu lama.... No rekomen deh,0,kirim no rekomen deh
93,tidak sesuai gambar..,0,sesuai gambar
94,hp rusak ga bs dipake sama sekali.,0,hp rusak ga bs dipake
95,Bintang yang menilai semua............,0,bintang nilai
96,Batteray hp tidak original dan batteray cepat habis atau cepat lowbet,0,batteray hp original batteray cepat habis cepat lowbet
97,"Agak kecewa sama barang yg diorder, ditanya warna merah katanya ready tapi yg dikirim warna hitam",0,kecewa barang order warna merah ready kirim warna hitam
98,"Baterai baru sehari udh bau gosong ,,untung ga meledak ,,",0,baterai hari udh bau gosong untung ga ledak
99,"Produk buruk. Tidak bisa dipake, buang tempat sampah. Casing terbuka dan sim tidak bisa terbaca. Mending beli produk 2nd dari produk ini...",0,produk buruk dipake buang sampah casing buka sim baca mending beli produk nd produk
100,cashing gak nempel batre drop.. apesss,0,cashing gak nempel batre drop apesss
101,Tombol atas nya ga berfungsi,0,tombol nya ga fungsi
102,"Barang kawe kawe ya. Barang kurang berfungsi, ga bisa baca memori, gak bisa bluethoot. Tadinya sy pikir asli. Ternyata bukan.",0,barang kawe kawe ya barang fungsi ga baca memori gak bluethoot sy pikir asli
103,Kualitasnya tidak sesuai dg merk nya,0,kualitas sesuai dg merk nya
104,"Barang yg saya terima bukan original nokia, kecewa.",0,barang terima original nokia kecewa
105,"Barang rusak semua, hp china bener2 payah,  sesuai harga kualitas jelek,  maklum lah,  harga beda 2x lipat dgn yg asli.",0,barang rusak hp china bener payah sesuai harga kualitas jelek maklum harga beda x lipat asli
106,Batt nya cepet abis...Bukan seperti Nokia Yg terdahulu...😭,0,batt nya cepet abisbukan nokia dahulu
107,Barang udah sampe kmaren,0,barang udah sampe kmaren
108,"Beli 2 dan 1 nya gak bisa digunain, alias rusak...",0,beli nya gak digunain alias rusak
109,"Tulisan &#34;SUPERCOPY&#34; atau REPLIKA sebaiknya ditulis lebih jelas lagi, ditambahkan di nama produk, kecuali jika memang mengincar juga pembeli yg kurang cermat seperti saya :p",0,tulis supercopy replika tulis nama produk kecuali incar beli cermat p
110,Suara nya jelek bgd..nerima maupun telp..baterainya jg..gak d pake sehari habis..keypad nya jg susah,0,suara nya jelek bgdnerima telpbaterainya jggak d pake hari habiskeypad nya jg susah
111,Casannya gak bs ngisi dan batre nya cpt habis,0,cas gak bs ngisi batre nya cpt habis
112,"Sangat kecewa,.......
..........",0,kecewa
113,brng tdk sesui.pesan warna biru dkirm warna merah,0,brng sesuipesan warna biru dkirm warna merah
114,"Barang sesuai deskripsi. Dari sisi fungsional, kualitas barang kurang baik mungkin krn ini harganya murah. Lampu keypad hanya menyala sebagian, batre longgar sehingga harus diganjal (sy pakai kertas) agar dapat berfungsi, batre hanya tahan 1 hari (pagi - malam), kualitas suara kurang baik.
Klo layanan dari toko cukup baik.",0,barang sesuai deskripsi sisi fungsional kualitas barang krn harga murah lampu keypad nyala batre longgar ganjal sy pakai kertas fungsi batre tahan pagi - malam kualitas suara klo layan toko
115,Pengiriman cepat hanya hpx tdk bisa putar musik n tobol2x kurang bgs,0,kirim cepat hpx putar musik n tobolx bgs
116,hp mati tidak bisa digunakan,0,hp mati
117,Barang ga bisa berfungsi dg baik.,0,barang ga fungsi dg
118,"Produk mengecewakan, kualitas barang jelek",0,produk kecewa kualitas barang jelek
119,Batre hp cepat habis alias boros,0,batre hp cepat habis alias boros
120,"Beli 3 produk, 2 biji baterai nya bocor, 1 biji kaga bisa di charge, mao kirim balik , ongkir dll susah",0,beli produk biji baterai nya bocor biji kaga charge mao kirim ongkir dll susah
121,"Baterai ngedropan tiap 6jam abis padahal cuman stand by,pketan isinya cuman HP&amp;CAS gk ada dusbook....",0,baterai ngedropan jam abis cuman stand bypketan isi cuman hpampcas gk dusbook
122,"Barang yg dikirim warna tidak sesuai dengan pemesanan, sangat tidak berkualitas",0,barang kirim warna sesuai mesan kualitas
123,Batere nya cpt habis..😭,0,batere nya cpt habis
124,Beli 5 unit hp disini ga ada yg satupun yg bgus.. penjual bohong..  minta solusi.,0,beli unit hp ga satu bgus jual bohong solusi
125,"Hp yg datang klo telfon ga ada suaranya,kecewa sekali",0,hp klo telfon ga suaranyakecewa
126,Produknya kw mudah rusak,0,produk kw mudah rusak
127,Pengiriman nya lama sekali,0,kirim nya
128,Barang banyak cacatnya dikomplain lambat nunggu abis garansinya pokoknya ga usah dibeli,0,barang cacat komplain lambat nunggu abis garansi pokok ga beli
129,"Barang sampah bukan nokia ini, kalo jualan yg bener km... hpnya suka suka mati2 sendiri...",0,barang sampah nokia kalo jual bener km hpnya suka suka mati
130,"Di deskripsi nya di tambahin &#34;barang replika&#34; biar gak kecewa pembeli nya.
Tombol pada jemblos.
Kecewa saya",0,deskripsi nya tambahin barang replika biar gak kecewa beli nya tombol jemblos kecewa
131,Cuma bertahan 3hari charger nya,0,tahan charger nya
132,paket dibungkus dng rapih..dan bgs..smoga unit nya sebagus dng packaging nya.,0,paket bungkus dng rapihdan bgssmoga unit nya bagus dng packaging nya
133,"Baru 3 hari mati, mau retur gak direspon..
Bukan nokia.",0,mati retur gak direspon nokia
134,Tidak ada sinyal nya udah nyoba pake kartu apa pun.,0,sinyal nya udah nyoba pake kartu
135,"Pesen nya warna biru tapi di kirim warna hitam,untung cuma hp murah",0,sen nya warna biru kirim warna hitamuntung hp murah
136,Karuan beli produk china aja...barange parah enteng kya krupuk suara speaker parah.layar kya mainan bocah,0,karuan beli produk china ajabarange parah enteng kya krupuk suara speaker parahlayar kya main bocah
137,"Tidak sesuai dengan apa yg di terangkan
Mirip kayak hp china",0,sesuai terang kayak hp china
138,Terima kasih banyak ooo tapi barang gak ori,0,terima kasih ooo barang gak ori
139,"kacanya retak,  kaya hp second",0,kaca retak kaya hp second
140,"Hp tidak bisa mengeluarkan suara dering, baterai drop.. jelekkk skali.. charger meledak",0,hp keluar suara dering baterai drop jelekkk skali charger ledak
141,"Gak bisa utk nelpon, cuma bisa cek pulsa doang.. Mau minta tukar",0,gak utk nelpon cek pulsa doang tukar
142,Hp mati saat penggunaan pertama...dan gak mau nyala lagi,0,hp mati guna pertamadan gak nyala
143,Gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu,0,gan knp d pasang kartu hp gg nyala kedap kedip mulu
144,"Jual barang KW, di keterangan ga di kasih keterangan barang KW.. Tau gitu ga jadi transfer deh.. Not recomended 👎",0,jual barang kw terang ga kasih terang barang kw tau gitu ga transfer deh not rekomen ed
145,"Bluetooth ga bisa ketemu sama hp lain, ga bisa nemuin bluetooth hp lain. Menu musik ga bisa baca lagu yg ada di memori walau udh di refresh.",0,bluetooth ga ketemu hp ga nemuin bluetooth hp menu musik ga baca lagu memori udh refresh
146,"Batre belum d pakai sudah abis alias dropp belom di pake, padahal abis di carger. Belum sejam udah abis",0,batre d pakai abis alias dropp bom pake abis carger jam udah abis
147,Lumayan bagus walaupun masih agak telat pngiriman,0,lumayan bagus telat pngiriman
148,"Batre gak awet, barang ringkih",0,batre gak awet barang ringkih
149,"pesan warna merah ,,, dikirim warna biru , sangat mengecewakan !!!",0,pesan warna merah kirim warna biru kecewa
150,"Hp ringkih gmpg rusak , antara hp Nokia atau replika",0,hp ringkih gmpg rusak hp nokia replika
151,Koj batre nya boros banget yak.  Ama sinyal gak muncul.,0,koj batre nya boros banget yak ama sinyal gak muncul
152,"Untuk mendengarkan radio. (earphone), tidak berfungsi. Sudah coba pakai handsfree 3 pcs, satu pun  tidak ada yg terdengar.  Saya mohon. Kedepan nya lebih teliti sebelum mengirim barangnya. Trims",0,dengar radio earphone fungsi coba pakai handsfree pcs dengar mohon depan nya teliti kirim barang terima kasih
153,"Apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih,padahal setahu saya hape nokia iti build qualitynya sangat bagus,,,,,agak kecewa sih,tp semoga barangnya awet",0,ya hape ringkihpadahal tahu hape nokia iti build qualitynya bagusagak kecewa sihtp moga barang awet
154,"ringan kaya hp ringan
spiker telpon rusakkkk",0,ringan kaya hp ringan spiker telpon rusakkkk
155,"Batere drop, susah di charge krn mgkn bermasalah",0,batere drop susah charge krn mgkn masalah
156,Hp nya gampang mati sendiri &amp; saya tanya ternyata rekondisi. Cuma ganti kesing. Barangnya bukan ORI Nokia charger maupun baterainya😔 semoga sukses jualannya🙏,0,hp nya gampang mati amp rekondisi ganti sing barang ori nokia charger baterai moga sukses jual
157,"baterai cepat habis, lampu keypad tidak nyala semua...",0,baterai cepat habis lampu keypad nyala
158,Kelamaan pengiriman barang,0,kirim barang
159,"Beda sama nokia 130 yg beli di counter hp, kwalitas beda jauh",0,beda nokia beli counter hp kwalitas beda
160,Hati2 chargeran tidak berfungsi sama sekali,0,hati chargeran fungsi
161,Pengiriman sangat lama untuk daerah jakarta,0,kirim daerah jakarta
162,Kecewa berat. Lebih layak jadi HP mainan,0,kecewa berat layak hp main
163,"Hpnya ngerestart teruss,, Nokia cap apa ini?? Tdk sesuai dgn yg di harapkan",0,hpnya ngerestart teruss nokia cap sesuai harap
164,"barang nyampe di packing rapih.
tpi kualitas sangat kurang, saat telpn kecil suaranya kecil, padahal volume udah maksimal, di pasang headset juga suka mati jika di sentuh. produk masih blm bisa di recommend",0,barang nyampe packing rapih kualitas telpn suara volume udah maksimal pasang headset suka mati sentuh produk blm recommend
165,Bos knp jaringannya ga conect ketika sudah masuk sim card?? Gmn solusinya?,0,bos knp jaring ga conect masuk sim card gmn solusi
166,"pengiriman lama pake banget,, pas dateng hp kyk kegores di layar,, speaker pecah, suara tlp kecil pdhal sdh maksimal di settingannya, colokan headset g bisa kepake.. g rekomended",0,kirim pake banget pas dateng hp kyk gores layar speaker pecah suara tlp pdhal maksimal settingannya colok headset g kepake g rekomended
167,Tidak sesuai warna diskripsi yang disepakati,0,sesuai warna skripsi pakat
168,Produk sangat buruk...tidak bisa buat telpon...dinyalakan 10 menit lgsg mati lagi,0,produk buruktidak telpondinyalakan menit lgsg mati
169,maaf barang untuk slot simcard 1 tdk bisa konek/terhubung jaringan...baterai sudah dicas cepat habis...kalau mau diretur bs ga ya..makasih,0,maaf barang slot simcard konek hubung jaringanbaterai cas cepat habiskalau retur bs ga yamakasih
170,"hape bekas atau hape kw ya?..... :(.    semoga usahanya berkah , amin",0,hape bekas hape kw ya moga usaha berkah amin
171,ga sama dengan gambar,0,ga gambar
172,Gan Ko gabilang Klo ini KW.... dikirain harganya murah karena keluar model baru.,0,gan ko gabilang klo kw dikirain harga murah model
173,warna yg d pesan tdk sesuai,0,warna d pesan sesuai
174,"Produk blm memuaskan, tapi tetap bekerja dgn baik",0,produk blm muas
175,Hp tiruan 🤣🤣 yang sama cuma bentuk sama merek aja isi nya zoonk,0,hp tiru bentuk merek aja isi nya zoonk
176,Speaker tlponnya rusak loh gan .makasih,0,speaker tlponnya rusak loh gan makasih
177,Hp tidak berfungsi sama sekali,0,hp fungsi
178,"Beli 2pc, 1 ok, 1 lagi= suara masuk ada, suara keluar ngak ada. Tidak di cek brg nya sebelum kirim",0,beli pc ok lagi suara masuk suara ngak cek barang nya kirim
179,Produk baru seminggu udh mati. Gimana sih,0,produk minggu udh mati gimana sih
180,Hp rusakk pedagang diam,0,hp rusakk dagang diam
181,"Tidak bisa nyala,hpnya gk mau nyala",0,nyalahpnya gk nyala
182,"Produk untuk HP nya baik dan bisa nyala, Hanya saja chargernya tidak bisa (RUSAK) karena pake charger yang lain bisa. Kemungkinan produk bermasalah, dan saya kecewa.",0,produk hp nya nyala chargernya rusak pake charger produk masalah kecewa
183,"Respon cepat,tapi sayang casing bagian belakang ada yg pecah",0,respon cepattapi sayang casing pecah
184,"Baterainya boros,cukup pertama dan terakhir.makasih gan
Sukses selalu.",0,baterai boroscukup terakhirmakasih gan sukses
185,pengiriman lambat .sabtu pagi transaksi selasa malem barunampai lemot,0,kirim lambat sabtu pagi transaksi selasa malem barunampai lot
186,Barang jelek... Casing ga ori.. speker pecah. Ini barang asli samsung apa casingnya saja yg samsung,0,barang jelek casing ga ori speker pecah barang asli samsung casingnya samsung
187,Kwalitas menengecewakan langsung rusak,0,kwalitas menengecewakan langsung rusak
188,Kecewa dengan hp nya.. Ternyata suara nada dering nya aneh.. Tidak layaknya hp samsung.,0,kecewa hp nya suara nada dering nya aneh layak hp samsung
189,Cacan cacan taik tffffgfffggggggggggggggg,0,cacan cacan taik tffffgfffggggggggggggggg
190,Hp cpet rusaakkk dan yg jual toko tidak bertanggung jawab sangat kecewa sekali ... Hati hati dgn toko ini tidak ada tanggung jawabnya....,0,hp cpet rusaakkk jual toko tanggung kecewa hati hati toko tanggung
191,"kurang respon kalau ada kendala barang nya
kedepan coba pelayanan nya lebih mantap lagi",0,respon kendala barang nya depan coba layan nya mantap
192,"barang rekondisi, tidak dicantumkan pada deskripsi",0,barang rekondisi cantum deskripsi
193,"Sangat mengecewakan, hp nya seperti kw n bkn baru, tdk ada kitabnya.",0,kecewa hp nya kw n bkn kitab
194,Barang kurang lengkap tidak ada handsfreenya,0,barang lengkap handsfreenya
195,Pengiriman lamaaa... Fitur barang tidak sesuai dengan yang asli..,0,kirim lamaaa fitur barang sesuai asli
196,"Saya beli hp ini penjualnya langsung kirim ke tempat bude saya di Sumatra. Menurut beliau, baru sehari dipakai, sudah tidak bisa dicharge. Pas dicek ke tempat servis, dibilang kalo Samsung palsu...  Mengecewakan. Mana beli 2 pcs pula.",0,beli hp jual langsung kirim bude sumatra beliau hari pakai dicharge pas cek servis bilang kalo samsung palsu kecewa beli pcs
197,"Respond cepat tp sampainya lama,barang bagus tp ada retaknya, sangat di sayangkan.",0,respond cepat tp sampai lamabarang bagus tp retak sayang
198,"Speaker ga berfungsi.. kalo tlp atau di tlp ga kedengeran suara... di tlp juga kadang nada sibuk pdhl hape sedang tidak di gunakan, 

Tlp ke hape lain juga nyambung bs kadang ga. Pdhl pulsa banyak. 

Over all kecewa banyak 😔😭",0,speaker ga fungsi kalo tlp tlp ga kedengeran suara tlp kadang nada sibuk pdhl hape tlp hape nyambung bs kadang ga pdhl pulsa over all kecewa
