Ulasan,Label
"pesan warna merah ,,, dikirim warna biru , sangat mengecewakan !!!",0
"Hp ringkih gmpg rusak , antara hp Nokia atau replika",0
Koj batre nya boros banget yak.  Ama sinyal gak muncul.,0
"Untuk mendengarkan radio. (earphone), tidak berfungsi. Sudah coba pakai handsfree 3 pcs, satu pun  tidak ada yg terdengar.  Saya mohon. Kedepan nya lebih teliti sebelum mengirim barangnya. Trims",0
"Apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih,padahal setahu saya hape nokia iti build qualitynya sangat bagus,,,,,agak kecewa sih,tp semoga barangnya awet",0
"ringan kaya hp ringan
spiker telpon rusakkkk",0
"Batere drop, susah di charge krn mgkn bermasalah",0
Hp nya gampang mati sendiri &amp; saya tanya ternyata rekondisi. Cuma ganti kesing. Barangnya bukan ORI Nokia charger maupun baterainya😔 semoga sukses jualannya🙏,0
"baterai cepat habis, lampu keypad tidak nyala semua...",0
Kelamaan pengiriman barang,0
"Beda sama nokia 130 yg beli di counter hp, kwalitas beda jauh",0
Hati2 chargeran tidak berfungsi sama sekali,0
Pengiriman sangat lama untuk daerah jakarta,0
Kecewa berat. Lebih layak jadi HP mainan,0
"Hpnya ngerestart teruss,, Nokia cap apa ini?? Tdk sesuai dgn yg di harapkan",0
"barang nyampe di packing rapih.
tpi kualitas sangat kurang, saat telpn kecil suaranya kecil, padahal volume udah maksimal, di pasang headset juga suka mati jika di sentuh. produk masih blm bisa di recommend",0
Bos knp jaringannya ga conect ketika sudah masuk sim card?? Gmn solusinya?,0
"pengiriman lama pake banget,, pas dateng hp kyk kegores di layar,, speaker pecah, suara tlp kecil pdhal sdh maksimal di settingannya, colokan headset g bisa kepake.. g rekomended",0
Tidak sesuai warna diskripsi yang disepakati,0
Produk sangat buruk...tidak bisa buat telpon...dinyalakan 10 menit lgsg mati lagi,0
maaf barang untuk slot simcard 1 tdk bisa konek/terhubung jaringan...baterai sudah dicas cepat habis...kalau mau diretur bs ga ya..makasih,0
"hape bekas atau hape kw ya?..... :(.    semoga usahanya berkah , amin",0
ga sama dengan gambar,0
Gan Ko gabilang Klo ini KW.... dikirain harganya murah karena keluar model baru.,0
warna yg d pesan tdk sesuai,0
"Produk blm memuaskan, tapi tetap bekerja dgn baik",0
Hp tiruan 🤣🤣 yang sama cuma bentuk sama merek aja isi nya zoonk,0
Speaker tlponnya rusak loh gan .makasih,0
Hp tidak berfungsi sama sekali,0
"Beli 2pc, 1 ok, 1 lagi= suara masuk ada, suara keluar ngak ada. Tidak di cek brg nya sebelum kirim",0
Produk baru seminggu udh mati. Gimana sih,0
Hp rusakk pedagang diam,0
"Tidak bisa nyala,hpnya gk mau nyala",0
"Produk untuk HP nya baik dan bisa nyala, Hanya saja chargernya tidak bisa (RUSAK) karena pake charger yang lain bisa. Kemungkinan produk bermasalah, dan saya kecewa.",0
"Respon cepat,tapi sayang casing bagian belakang ada yg pecah",0
"Baterainya boros,cukup pertama dan terakhir.makasih gan
Sukses selalu.",0
pengiriman lambat .sabtu pagi transaksi selasa malem barunampai lemot,0
Barang jelek... Casing ga ori.. speker pecah. Ini barang asli samsung apa casingnya saja yg samsung,0
Kwalitas menengecewakan langsung rusak,0
Kecewa dengan hp nya.. Ternyata suara nada dering nya aneh.. Tidak layaknya hp samsung.,0
Cacan cacan taik tffffgfffggggggggggggggg,0
Hp cpet rusaakkk dan yg jual toko tidak bertanggung jawab sangat kecewa sekali ... Hati hati dgn toko ini tidak ada tanggung jawabnya....,0
"kurang respon kalau ada kendala barang nya
kedepan coba pelayanan nya lebih mantap lagi",0
"barang rekondisi, tidak dicantumkan pada deskripsi",0
"Sangat mengecewakan, hp nya seperti kw n bkn baru, tdk ada kitabnya.",0
Barang kurang lengkap tidak ada handsfreenya,0
Pengiriman lamaaa... Fitur barang tidak sesuai dengan yang asli..,0
"Saya beli hp ini penjualnya langsung kirim ke tempat bude saya di Sumatra. Menurut beliau, baru sehari dipakai, sudah tidak bisa dicharge. Pas dicek ke tempat servis, dibilang kalo Samsung palsu...  Mengecewakan. Mana beli 2 pcs pula.",0
"Respond cepat tp sampainya lama,barang bagus tp ada retaknya, sangat di sayangkan.",0
"Speaker ga berfungsi.. kalo tlp atau di tlp ga kedengeran suara... di tlp juga kadang nada sibuk pdhl hape sedang tidak di gunakan, 

Tlp ke hape lain juga nyambung bs kadang ga. Pdhl pulsa banyak. 

Over all kecewa banyak 😔😭",0
"barang di kirim salah kirim warna sudah dikembalikan uang 50 rb , selanjutnya setelah di check barang ternyata itu yang dikirim Redmi Note 4 bukan Redmi Note 4X
harusnya CPU Helio X20 Deca Core 2.1GHz ternyata yang dikirim Qualcom Snapdragon 625 Octa Core Max 2.0 GHz
jadi ???? kadung deh mau di refund juga .... repoooooot",0
Barang sesuai dengan pesanan,0
Ya yg hitam suara pecah.,0
"barang sangat amat jelek, batre ga bagus dan hp ga bisa berfungsi dengan baik padahal baru dibeli.",0
"Tampilan layar buram gan,jauh beda dengan yang original.",0
"Pengiriman cepat sih, cuman pertama kali di cas batere ga gerak. Ywdh buat ganjal lemari es sajah...",0
Casanya masa beda terus meletuk lgi -_- bikin listrik turun,0
"Barangnya tidak sesuai harapan,,payah!!!",0
Ukuran tidak sesuai dengan hp nya,0
Barang mau saya refund karena di hp saya gak cukup.. eh malah gak di jawab seller alamat lengkap di komplain,0
"Kaitan tempat HP dan gagangnya gak klik, agak ngeri untuk di jalan bisa lepas..",0
"Buat naoroh hpnya agak kecil..  Padahal sudah pesen yang besar malah di kasih yang segini... 

Rada kecewa sama pelayanannya",0
"pengaitnya patah 1, di cari di dalem box ga adaa patahannya, berarti murni dari seller, kacau harganya lumayan tp sia sia beli, anggep aja sedekah dah ama sellernya, ga berkah",0
"harus di powerglue, cuma nyantol doang gak ngehold....",0
nii kok ga bisaa yaa di pasang di spion motor matic kak. lubang nya kecil kurang gede buat di spion.,0
"tidak muat di pasang di spion Honda beat pop, gampang di copot bukan anti copet",0
Order 2pcs...yg satu mati total...ga bisa hidup...,0
Lama pengirimannya 😩,0
"Macet, suara nya pecah, g enak di dengar",0
Mengecewakan...........,0
Sangat buruk pdahal disitu pengirimanya sehari nyampenya seminggu,0
"Dipenyeki  lagi boss micnya.. yang penting bisa bunyi. ini kali ke 2 saya order. kecewa2, tau tunggu yang pertama dtg dolo .",0
"Barang yg di kirim tidak sesuai, di kirimnya barang yg hrga murah.. Tp okelah uang sisanya udah di kembalikan",0
"tolong setiap pengiriman di cek keberadaannya...
thanks",0
Barang yang dikirim brng rusak...,0
"Barang kosong tp uang kembali kok, Thanks.. Hanya mungkin kedepan boleh ada interaksi sedikit sama konsumen sekedar menanyakan apa mau ganti barang atau tidak (kalo krn overload dgn pesanan lain jadi gak ada waktu konfirmasi ya itu mah resiko jualan).. Sekedar saran lho, thanks anyway gan",0
Brg tidak tertulis jabra seperti gbr   beli putih dan gold  diberi warna gold semua   brg krg bagus suaranya,0
OTG aja bukan hitam tp emas..MINUS parah nih OS..Mana dikonek bkin HP MATI...,0
Pesen 4 barang yg nyampe 2.. Walopun di refund cash.. Tp harusnya ad konfirmasi dulu...,0
"Gak ad barang!!
Mohon diperbaiki pelayanannya.. HARGAI PEMBELI.. Jangan asal kirim pesanan kl barang gak ada  atau gak sesuai pesanan.. Nanya dulu sharusnya..masih mau gak",0
Gunting kuku krg tajam jepitan uban jg,0
Coil brush nya blm dikirim,0
barang prosuknya cacat atau memiliki retakan,0
Ksh 2 ya krn merekny beda sama keterangan,0
"Kualitas brg ga ada masalah. Tp ini kan karakter ya. Sedih, kan yg dimau krn strawberrynya.. Krn kirimnya beda, jadi harus cari lagi.. mungkin yg penting dibayar atau semoga saya salah. Tapi tidak menutup kemungkinan kedepannya lebih baik ya... semoga cek dan ricek order yg masuk sebagaimana yg dikirim. Agar berkah utk penjual maupun pembeli.. amin.",0
"Segel da kbuka, dicek kurang gel nya kagak ada yaaak",0
barang yg dikirim tidak sesuai pesanan dan gambar. padahal udah tanya mana yg rady dan sudah pesan sesuai yg tertera. tapi dikasihnya asal aja,0
ngga mirip sama foto. cuma warna kuning polos semua. kecewa..,0
Saya salah beli.... jadi ngga bisa kasih bintang 5.... jadi ngga terpakai Barang nya,0
Kecewa bgt. Barang yg dtg bukan yg seharusnya. Saya udah konfirmasi dari brg dtg (hari kamis) tapi diabaikan. Setelah 2 hari dan setelah saya mengeluh kenapa chat saya diabaikan baru jwb disuruh kirim balik aja brg yg salah nanti brg yg saya beli dikirim ulang. PLISSSSSS deh kemana aja dr 2 hari yg lalu. Saya mau brg saya dtg plg lambat tgl 2 sep 2018. Masalah brg yg salah saya ngak mau tgg ongkirnya. Terserah mau gimana cr nya. Saya tunggu sampai tgl 2 kalo ngak brg ini jd milik saya. Toh dri depok ke jagakarsa ngak jauh. Bisa pakai gojek.,0
Direfund cash &amp; sdh diterima.,0
Tidak dikirim barangnya. walaupun sudah dikasih penggantian uang tapi customer kecewa karena tidak ada info sebelumnya.,0
Barang sesuai sih. Tapi pas dinyalain alarmnya langsung idup. Batre jg dapet yg udah low. Bahan ringkih. Alhasil cuman jd gantungan kunci biasa. Ya harga segitu ga bisa ngarep lebih lah.,0
kok yang 2 biji batreinya dah habis,0
ini pesanannya kok dikirim model lain ga sesuai gambar,0
Knp brng yg di ft sm yg dikirim beda..,0
Pesen 4 barang yg nyampe 2.. Walopun di refund cash.. Tp harusnya ad konfirmasi dulu...,0
Barang sampai dalam keadaan basah. Dus seperti terendam banjir.,0
"Sesuai pesanan, kirain pake cas, salah lihat. Kalau yg cas selisih dikit saja",0
"barangnya bagus, cm brg yg dtg tdk sesuai permintaan. saya pesen 15 darkbrow. dtgnya 8dark brown + 7 abu.",0
"Pesan no 01 dan 06, yang dikirim malah no 02, 03, 04.. padahal sudah ditulis kosong = cancel..",0
"Sangat kecewa, saya udah tanya&#34; readynya barang dari malam tgl 2, dan saya order subuh 04.55 tangl 3. bukannya dikirim pagi atau sore ditgl 3. malah di undur terus pengiriman dan selalu beralasan, saya BEBERAPA KALI MINTA CANCEL DAN SERIBU ALASAN JUGA.
saya kaya gini karena butuh cepan converter hdmi nya. dan 3 BARANG LAINNYA. terpaksa saya order ditoko kota saya. jd yg paket ini ngak kepake. percuma, karena presentasi saya senin td pagi.
saya order ditoko ini karena hitungan saya sabtu minggu sudah sampe jika dikirim tgl 3 sore. karena jnt minggu tetap buka.
DAN TAUnya DIKIRIM TGL 5 siang, dan baru sampe sekarang, buang buang uang. dan disruh cancel otomatis dan dicancel pun alasannya bayak.",0
Sangat kecewa dan menyesal,0
Speaker retak dipojok bawah,0
"Barang tidak ada...
Uang dikembalikan tidak sesuai yang dibayarkan... Plus Ongkir tetap tidak berubah padahal volume dan berat justru ada dibarang yang ditolak.... 
SANGAT MENGECEWAKAN
TIDAK DAPAT DIREKOMENDASIKAN",0
Produk tidak di kirim ga bisa kasih ulasan dong,0
Sekali pakai langsung patah...gagang tidak kuat...,0
Payah&#39;.................................,0
Dus nya nya ancur dan ketika pengiruman kaya nya cuman asal kirim,0
"cuman nyala sebelah......,,,",0
sama yang di gambar tpi headset mati sebelah,0
"Isi dalam nya ada sebagian Karatan walaupun di segel,,",0
Mohon di-update jika stock tidak ada...barang tidak jadi dikirim,0
"Barang tidak masalah, namun yang saya sesalkan adalah, seller kurang informatif. Stock kurang, harusnya diinfolak dahulu, bukan langsung dikirim. Ini malah dikirim tanpa pemberitahuan. Jadi saya haru smencari lagi kekurangan barangnya. Bad service",0
"Produknya ternyata kosong,tp gpp lah.. Uangnya di refund...",0
kualitas nya kurang bagus,0
"Lapak yang paling mengecewakan,  karena tidak mengirim barang dengan sesuai, hanya Mengirimkan tripod dan holder sementara penyambung nya tidak di kirimkan.
Akhirnya barang menjadi tidak berguna",0
"Barang Sesuai dg Psn an, tp knapa kg da Dus nya hanya_cuma plastik.",0
Barang pecah atau retak tdk mulus,0
Kenapa barang ini gada ya,0
Sudah memilih 3 pilihan warna.. tapi warna yg di pilih sama sekali tidak dinkirim,0
"Saya pesan 10 biji dengan berbagai warna merah, biru tua, hijau malah dikirim warna lain hitam semuanya. Parah",0
PARAH GAK SESUAI GAMBAR HITAM YG DIKIRIM WARNA ORANGE BRENGSEK,0
"Banyak yang ga lengket...., produk kurang bagus.",0
Ga nempel sama sekali.........,0
"barangnya cacat, apa tidak diperiksa dulu?",0
warna nya ga sesuaii dengan yg saya ingin kan,0
Earphone nya sih dateng tapi ngga sama kabelnya sebelum di packing di cek dulu ya terima kasih ehe,0
ga da suaranya parah bgt pengirimannya ga sesuai dgn ekstimasi,0
Produk tidak berfungsi,0
Barang tidak bisa di pakai. Kecewaa,0
Barang rusak tdk ada suara padahal sdh konek. Malas komplain krn beli dgn barang lain,0
Brg nya yg 1 bs di pake n yg 2 gk bs di pakai.,0
"Saya Memakai jasa JNE YES dari tanggal 6 Februari 2019 sampai tanggal 9 Februari... Sama seperti lamanya pengiriman yang biaya lebih murah...
Saya Kecewa",0
"Maaf agak kecewa, barang tidak sesuai deskripsi tidak bisa untuk telpon",0
"Tidak bisa digunakan, di charge 1x langsung gabisa dipake lagi.. Ditawarin sama toko pengembalian produk dan diganti yang baru dengan syarat ongkir ditanggung pembeli :(.. Saya minta refund pun, mereka minta barang rusaknya dikirim kembali, dan saya harus bayar ongkir.. Capede... Drpd jual brg ga berkualitas, mendingan evaluasi dulu deh biar pelanggan puas dengan kualitas produk anda",0
"Barang tidak ada dikembalikan uang,,,",0
Barang rusak tidak bisa dipakai,0
Beli 3 gbs dpke semua parah,0
"Barang rusak 1, penjual juga ga respon",0
Earphone tidak berfungsi sudah di cash,0
"Headset bluetoothny Koneck k Handphone,tpi gx ada bunyinya.Tlg ksih Pencerahannya Gan WA 085367043379",0
"Padahal udh beli lebih dari 2 malah kirim 2....
Aduuh",0
Masa saya nunggu seminggu baru barang nya datang,0
Barang Tidak bisa di cas.  Untuk suara standar aja.,0
Barang tidak bisa di charge... Lumayan kecewa...,0
Cacat produk nya gak bisa nyala padahal baru beli,0
bagus   baterai nya cpt habis tapi gk papa,0
Baterai gampang habis padahal sudah dicas full,0
Tidak bisa pake nelpon..berdengung suara mic nya,0
Penjual respon lambat kalau ditanya tentang cara pakai.,0
Sepertinya penjual tidak mengecek kondisi barang sebelum dikirim.barang yg saya terima tidak bisa dicas karena lubang cargernya gak pas dengan konektor,0
"Maaf saya kecewa dengan barangnya, lubang chargernya geser jadi tidak bisa dipakai",0
Deskripsi tertulis ready warna HITAM dan PUTIH. Tapi terlalu mistis hingga bisa muncul warna BIRU saat barang sampai ke tangan pembeli.,0
Ud komplain ad yg rusak br bilang kebijakan toko kalau ongkir barang lama n barang pengganti d tanggung pembeli..,0
Di pake 1 kali doang langsung Bangkar.  Ga bisa di cas sia sia dah beli nya juga,0
Barang setelah dipakai 2hari mati (rusak),0
barang tdk sesuai pesanan..mo retur hrs kirim ongkos retur.,0
